# Freq(THz)	Branch_1	Branch_2	Branch_3	Total
0.5463	0.350806	0.154290	0.008294	0.513390
0.5498	0.352039	0.155151	0.008383	0.515572
0.5533	0.353333	0.155984	0.008443	0.517760
0.5568	0.354694	0.156793	0.008475	0.519961
0.5603	0.356123	0.157579	0.008478	0.522180
0.5638	0.357621	0.158344	0.008454	0.524419
0.5673	0.359187	0.159090	0.008403	0.526680
0.5708	0.360819	0.159816	0.008328	0.528963
0.5743	0.362513	0.160524	0.008230	0.531267
0.5778	0.364263	0.161215	0.008112	0.533589
0.5813	0.366061	0.161888	0.007975	0.535925
0.5848	0.367901	0.162543	0.007824	0.538269
0.5883	0.369773	0.163181	0.007661	0.540616
0.5918	0.371666	0.163802	0.007490	0.542958
0.5953	0.373571	0.164405	0.007313	0.545289
0.5988	0.375476	0.164991	0.007134	0.547601
0.6023	0.377371	0.165559	0.006957	0.549887
0.6058	0.379246	0.166110	0.006785	0.552142
0.6093	0.381091	0.166646	0.006622	0.554359
0.6128	0.382896	0.167167	0.006471	0.556534
0.6163	0.384655	0.167675	0.006335	0.558664
0.6198	0.386360	0.168171	0.006218	0.560748
0.6233	0.388005	0.168659	0.006122	0.562786
0.6268	0.389589	0.169140	0.006051	0.564779
0.6303	0.391107	0.169618	0.006006	0.566731
0.6338	0.392560	0.170095	0.005990	0.568646
0.6373	0.393949	0.170576	0.006006	0.570531
0.6408	0.395276	0.171064	0.006054	0.572394
0.6443	0.396545	0.171563	0.006135	0.574243
0.6478	0.397761	0.172075	0.006251	0.576087
0.6513	0.398931	0.172605	0.006402	0.577938
0.6548	0.400061	0.173155	0.006587	0.579804
0.6583	0.401160	0.173730	0.006807	0.581696
0.6618	0.402234	0.174330	0.007058	0.583622
0.6653	0.403292	0.174960	0.007341	0.585593
0.6688	0.404343	0.175620	0.007652	0.587615
0.6723	0.405393	0.176312	0.007989	0.589695
0.6758	0.406450	0.177038	0.008349	0.591837
0.6793	0.407520	0.177797	0.008727	0.594045
0.6828	0.408608	0.178591	0.009120	0.596319
0.6863	0.409719	0.179418	0.009523	0.598660
0.6898	0.410856	0.180279	0.009931	0.601066
0.6933	0.412020	0.181172	0.010340	0.603531
0.6968	0.413213	0.182095	0.010743	0.606051
0.7004	0.414434	0.183048	0.011136	0.608618
0.7039	0.415682	0.184028	0.011515	0.611224
0.7074	0.416953	0.185034	0.011872	0.613859
0.7109	0.418246	0.186062	0.012205	0.616514
0.7144	0.419555	0.187112	0.012509	0.619176
0.7179	0.420876	0.188181	0.012779	0.621836
0.7214	0.422203	0.189266	0.013013	0.624483
0.7249	0.423531	0.190366	0.013208	0.627105
0.7284	0.424855	0.191478	0.013361	0.629693
0.7319	0.426168	0.192600	0.013471	0.632239
0.7354	0.427466	0.193730	0.013538	0.634734
0.7389	0.428745	0.194866	0.013561	0.637172
0.7424	0.429999	0.196008	0.013541	0.639548
0.7459	0.431227	0.197152	0.013480	0.641859
0.7494	0.432424	0.198299	0.013380	0.644103
0.7529	0.433591	0.199446	0.013243	0.646280
0.7564	0.434727	0.200593	0.013073	0.648393
0.7599	0.435831	0.201738	0.012874	0.650444
0.7634	0.436906	0.202882	0.012651	0.652439
0.7669	0.437953	0.204022	0.012407	0.654382
0.7704	0.438975	0.205159	0.012148	0.656282
0.7739	0.439977	0.206290	0.011879	0.658146
0.7774	0.440961	0.207416	0.011605	0.659983
0.7809	0.441934	0.208535	0.011332	0.661801
0.7844	0.442898	0.209646	0.011065	0.663608
0.7879	0.443859	0.210746	0.010809	0.665414
0.7914	0.444820	0.211836	0.010569	0.667225
0.7949	0.445787	0.212911	0.010350	0.669049
0.7984	0.446763	0.213971	0.010157	0.670891
0.8019	0.447749	0.215012	0.009994	0.672755
0.8054	0.448749	0.216030	0.009865	0.674644
0.8089	0.449763	0.217023	0.009773	0.676559
0.8124	0.450792	0.217987	0.009721	0.678500
0.8159	0.451835	0.218918	0.009712	0.680466
0.8194	0.452890	0.219813	0.009749	0.682452
0.8229	0.453956	0.220666	0.009832	0.684454
0.8264	0.455029	0.221474	0.009963	0.686466
0.8299	0.456107	0.222234	0.010142	0.688482
0.8334	0.457183	0.222941	0.010368	0.690493
0.8369	0.458256	0.223595	0.010641	0.692492
0.8404	0.459319	0.224192	0.010960	0.694471
0.8439	0.460369	0.224732	0.011321	0.696422
0.8474	0.461401	0.225215	0.011722	0.698338
0.8509	0.462412	0.225641	0.012160	0.700212
0.8544	0.463399	0.226013	0.012629	0.702041
0.8579	0.464358	0.226335	0.013126	0.703819
0.8614	0.465289	0.226611	0.013645	0.705545
0.8649	0.466190	0.226849	0.014180	0.707219
0.8684	0.467061	0.227056	0.014724	0.708842
0.8719	0.467904	0.227242	0.015272	0.710417
0.8754	0.468718	0.227415	0.015816	0.711950
0.8789	0.469508	0.227589	0.016349	0.713446
0.8824	0.470275	0.227774	0.016865	0.714914
0.8859	0.471025	0.227983	0.017356	0.716363
0.8894	0.471759	0.228228	0.017816	0.717804
0.8929	0.472484	0.228523	0.018240	0.719246
0.8964	0.473203	0.228879	0.018621	0.720702
0.8999	0.473921	0.229307	0.018954	0.722182
0.9035	0.474642	0.229819	0.019235	0.723696
0.9070	0.475369	0.230423	0.019461	0.725254
0.9105	0.476107	0.231127	0.019630	0.726864
0.9140	0.476858	0.231935	0.019739	0.728533
0.9175	0.477623	0.232852	0.019789	0.730264
0.9210	0.478405	0.233878	0.019779	0.732062
0.9245	0.479203	0.235012	0.019711	0.733927
0.9280	0.480017	0.236251	0.019588	0.735856
0.9315	0.480846	0.237587	0.019413	0.737845
0.9350	0.481687	0.239013	0.019189	0.739890
0.9385	0.482539	0.240518	0.018923	0.741980
0.9420	0.483397	0.242089	0.018619	0.744106
0.9455	0.484259	0.243712	0.018285	0.746256
0.9490	0.485119	0.245372	0.017927	0.748417
0.9525	0.485974	0.247051	0.017551	0.750576
0.9560	0.486819	0.248732	0.017166	0.752718
0.9595	0.487651	0.250398	0.016779	0.754829
0.9630	0.488465	0.252031	0.016398	0.756894
0.9665	0.489259	0.253615	0.016029	0.758903
0.9700	0.490028	0.255132	0.015681	0.760842
0.9735	0.490772	0.256570	0.015360	0.762702
0.9770	0.491489	0.257915	0.015073	0.764477
0.9805	0.492177	0.259156	0.014827	0.766160
0.9840	0.492837	0.260286	0.014626	0.767749
0.9875	0.493470	0.261298	0.014476	0.769243
0.9910	0.494078	0.262189	0.014380	0.770647
0.9945	0.494662	0.262958	0.014344	0.771964
0.9980	0.495226	0.263610	0.014369	0.773204
1.0015	0.495772	0.264147	0.014457	0.774376
1.0050	0.496305	0.264578	0.014610	0.775493
1.0085	0.496828	0.264913	0.014828	0.776569
1.0120	0.497345	0.265164	0.015110	0.777619
1.0155	0.497859	0.265346	0.015455	0.778660
1.0190	0.498374	0.265473	0.015860	0.779708
1.0225	0.498894	0.265562	0.016323	0.780779
1.0260	0.499421	0.265631	0.016838	0.781890
1.0295	0.499956	0.265697	0.017401	0.783054
